accuracy,precision,recall,f1,auroc,recall_malignant,tn,fp,fn,tp,n_test_images,n_test_patients,inference_time_sec,inference_time_ms_per_image,end_to_end_inference_time_ms_per_image,threshold,model_only_inference_time_ms_per_image,model_only_inference_time_ms_std,model_only_timing_n_images,model_only_timing_n_batches,model_only_timing_repeats,model,training_mode,dataset_config,split_type,fold,n_params,n_trainable_params,training_time_sec,avg_epoch_time_sec,epochs_run,n_train,n_val,model_size_mb,model_size_is_estimate,experiment_id,frozen_stage_time_sec,finetune_stage_time_sec
0.6209677419354839,0.728,0.37142857142857144,0.4918918918918919,0.6720221156191561,0.37142857142857144,217,34,154,91,496,7,2.1881984580031713,4.4116904395225225,4.4116904395225225,0.5,2.6426651000292622,0.03429345697109002,80,5,3,mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,0,2259265,1281,89.85643829099718,6.881372442307811,13,1914,428,9.194670677185059,False,20260705_135337_375681_diversity_1p5GB_kfold_patient_wise_mobilenetv2_frozen_fold0,,
0.6048387096774194,0.6713286713286714,0.39183673469387753,0.4948453608247423,0.6591104967883568,0.39183673469387753,204,47,149,96,496,7,2.367890499997884,4.773972782253798,4.773972782253798,0.5,2.6323505250729795,0.015545586512443543,80,5,3,mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,0,2259265,1512001,130.0276792500008,7.1913572499454155,18,1914,428,20.7274751663208,False,20260705_135421_862090_diversity_1p5GB_kfold_patient_wise_mobilenetv2_finetuned_fold0,89.85643829099718,40.171240959003626
0.6612903225806451,0.8532110091743119,0.3795918367346939,0.5254237288135594,0.7745182535165461,0.3795918367346939,235,16,152,93,496,7,3.113509292001254,6.27723647580898,6.27723647580898,0.5,6.696835937509604,0.12157118950236061,80,5,3,efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,0,4050852,1281,91.19797220899636,10.088616301001618,9,1914,428,16.2753963470459,False,20260705_135600_987792_diversity_1p5GB_kfold_patient_wise_efficientnetb0_frozen_fold0,,
0.6754032258064516,0.8442622950819673,0.4204081632653061,0.5613079019073569,0.7877551020408163,0.4204081632653061,232,19,142,103,496,7,3.296712249997654,6.646597278221076,6.646597278221076,0.5,6.744500512468221,0.06814655048875919,80,5,3,efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,0,4050852,1484641,152.91346779200103,10.877593631000698,14,1914,428,27.602157592773438,False,20260705_135709_385396_diversity_1p5GB_kfold_patient_wise_efficientnetb0_finetuned_fold0,91.19797220899636,61.71549558300467
0.5613079019073569,0.5203426124197003,0.7126099706744868,0.6014851485148515,0.6356099781364495,0.7126099706744868,169,224,98,243,734,7,3.905183541995939,5.320413544953595,5.320413544953595,0.5,2.7042515624998487,0.0666492303775137,80,5,3,mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,1,2259265,1281,39.45476200000121,6.53262526383575,6,1782,322,9.194818496704102,False,20260705_135756_145603_diversity_1p5GB_kfold_patient_wise_mobilenetv2_frozen_fold1,,
0.5544959128065395,0.5150214592274678,0.7038123167155426,0.5947955390334573,0.6536753897009991,0.7038123167155426,167,226,101,240,734,7,4.70304162499815,6.407413658035627,6.407413658035627,0.5,2.7200828124477994,0.07234052465429235,80,5,3,mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,1,2259265,1512001,95.98329329099943,7.342698467847815,13,1782,322,20.727622985839844,False,20260705_135859_399336_diversity_1p5GB_kfold_patient_wise_mobilenetv2_finetuned_fold1,39.45476200000121,56.52853129099822
0.6512261580381471,0.5995316159250585,0.750733137829912,0.6666666666666666,0.69396998798624,0.750733137829912,222,171,85,256,734,7,5.758992708004371,7.846039111722576,7.846039111722576,0.5,6.7886536374317075,0.04398122398533309,80,5,3,efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,1,4050852,1281,110.33095337499981,9.139009885581496,12,1782,322,16.2753963470459,False,20260705_140101_581078_diversity_1p5GB_kfold_patient_wise_efficientnetb0_frozen_fold1,,
0.6430517711171662,0.5895691609977324,0.7624633431085044,0.6649616368286445,0.693447650601061,0.7624633431085044,212,181,81,260,734,7,6.333209625001473,8.628350987740426,8.628350987740426,0.5,6.8728557249414735,0.1429346451282014,80,5,3,efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,1,4050852,1484641,180.20404091600358,9.957113340387473,18,1782,322,27.602157592773438,False,20260705_140221_380500_diversity_1p5GB_kfold_patient_wise_efficientnetb0_finetuned_fold1,110.33095337499981,69.87308754100377
0.7142857142857143,0.7703703703703704,0.6582278481012658,0.7098976109215017,0.8073136427566807,0.6582278481012658,217,62,108,208,595,7,3.719470125004591,6.251210294125363,6.251210294125363,0.5,2.734528124983626,0.016909922985529836,80,5,3,mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,2,2259265,1281,68.0931754169942,6.763207683199289,10,1913,330,9.194818496704102,False,20260705_140337_731840_diversity_1p5GB_kfold_patient_wise_mobilenetv2_frozen_fold2,,
0.6991596638655462,0.815668202764977,0.560126582278481,0.6641651031894934,0.8052152806134023,0.560126582278481,239,40,139,177,595,7,4.199957124998036,7.058751470584935,7.058751470584935,0.5,2.8683770749921678,0.07440324111959253,80,5,3,mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,2,2259265,1512001,109.64071012499335,7.26660873599952,15,1913,330,20.727622985839844,False,20260705_140425_616059_diversity_1p5GB_kfold_patient_wise_mobilenetv2_finetuned_fold2,68.0931754169942,41.54753470799915
0.8487394957983193,0.8054054054054054,0.9430379746835443,0.8688046647230321,0.9110067601288507,0.9430379746835443,207,72,18,298,595,7,5.607905709002807,9.425051611769424,9.425051611769424,0.5,6.81686978750804,0.09518592486767159,80,5,3,efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,2,4050852,1281,144.00660054200125,9.550998447200012,15,1913,330,16.2753963470459,False,20260705_140701_208551_diversity_1p5GB_kfold_patient_wise_efficientnetb0_frozen_fold2,,
0.8470588235294118,0.8032345013477089,0.9430379746835443,0.8675400291120815,0.9102014427657548,0.9430379746835443,206,73,18,298,595,7,6.36514837499999,10.69772836134452,10.69772836134452,0.5,6.785547387516999,0.018303128826759003,80,5,3,efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,2,4050852,1484641,208.74386025000422,10.387819333250809,20,1913,330,27.602157592773438,False,20260705_140815_988052_diversity_1p5GB_kfold_patient_wise_efficientnetb0_finetuned_fold2,144.00660054200125,64.73725970800297
0.6436170212765957,0.6165919282511211,0.9016393442622951,0.7323568575233023,0.6912209633521109,0.9016393442622951,88,171,30,275,564,6,4.121519917003752,7.307659427311617,7.307659427311617,0.5,2.707554687458469,0.15852845034817012,80,5,3,mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,3,2259265,1281,40.33128341699921,8.021968166601436,5,1948,326,9.194818496704102,False,20260705_140904_849894_diversity_1p5GB_kfold_patient_wise_mobilenetv2_frozen_fold3,,
0.6666666666666666,0.6382978723404256,0.8852459016393442,0.7417582417582418,0.7237799860750681,0.8852459016393442,106,153,35,270,564,6,4.282370832996094,7.592856086872507,7.592856086872507,0.5,2.722204687415797,0.057668115894909104,80,5,3,mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,3,2259265,1512001,84.34398612499353,8.392971633200796,10,1948,326,20.727622985839844,False,20260705_140955_206656_diversity_1p5GB_kfold_patient_wise_mobilenetv2_finetuned_fold3,40.33128341699921,44.01270270799432
0.6932624113475178,0.6896551724137931,0.7868852459016393,0.7350689127105666,0.7530856383315399,0.7868852459016393,151,108,65,240,564,6,5.698142084002029,10.103088801422038,10.103088801422038,0.5,6.800827600000048,0.19482147986759582,80,5,3,efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,3,4050852,1281,54.78521683299914,10.901027082998189,5,1948,326,16.2753963470459,False,20260705_141101_657611_diversity_1p5GB_kfold_patient_wise_efficientnetb0_frozen_fold3,,
0.723404255319149,0.7018970189701897,0.8491803278688524,0.7685459940652819,0.7952148870181658,0.8491803278688524,149,110,46,259,564,6,6.569158750004135,11.647444592205913,11.647444592205913,0.5,6.712979687472398,0.1021773129249104,80,5,3,efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,3,4050852,1484641,118.848347500003,11.833095399899321,10,1948,326,27.602157592773438,False,20260705_141215_951567_diversity_1p5GB_kfold_patient_wise_efficientnetb0_finetuned_fold3,54.78521683299914,64.06313066700386
0.5523385300668151,0.49714285714285716,0.435,0.464,0.5529116465863454,0.435,161,88,113,87,449,6,4.0953123329964,9.120962879724722,9.120962879724722,0.5,2.7633343749585038,0.18392242846951598,80,5,3,mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,4,2259265,1281,65.62067391700111,7.2536815784438256,9,1928,461,9.194818496704102,False,20260705_141330_595457_diversity_1p5GB_kfold_patient_wise_mobilenetv2_frozen_fold4,,
0.5367483296213809,0.48130841121495327,0.515,0.4975845410628019,0.5709638554216867,0.515,138,111,97,103,449,6,4.872579292001319,10.852069692653272,10.852069692653272,0.5,2.749519275039347,0.07304727630238152,80,5,3,mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,4,2259265,1512001,112.77301075000287,8.014895383784667,14,1928,461,20.727622985839844,False,20260705_141424_843921_diversity_1p5GB_kfold_patient_wise_mobilenetv2_finetuned_fold4,65.62067391700111,47.152336833001755
0.7906458797327395,0.6920289855072463,0.955,0.8025210084033614,0.9413654618473896,0.955,164,85,9,191,449,6,5.677715917001478,12.645247031183693,12.645247031183693,0.5,6.891340624952136,0.08962779057434112,80,5,3,efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,4,4050852,1281,161.2809838749963,10.692998038934213,15,1928,461,16.2753963470459,False,20260705_141718_940674_diversity_1p5GB_kfold_patient_wise_efficientnetb0_frozen_fold4,,
0.8396436525612472,0.7601626016260162,0.935,0.8385650224215246,0.9507630522088354,0.935,190,59,13,187,449,6,6.651091874999111,14.813122216033653,14.813122216033653,0.5,7.055513537488878,0.2687126797296133,80,5,3,efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,4,4050852,1484641,298.0492471249963,11.40976170680845,26,1928,461,27.602157592773438,False,20260705_141946_172767_diversity_1p5GB_kfold_patient_wise_efficientnetb0_finetuned_fold4,161.2809838749963,136.76826325000002
